Make_ID,make,Fuel_Id,fuel-type,num-of-doors,Body_id,body-style,drive-wheels,engine-location,Engine_ID,engine-type,num-of-cylinders,engine-size,fuel-system,price
1,alfa-romero,3,gas,two,1,convertible,rwd,front,1,dohc,four,130,mpfi,13495
1,alfa-romero,3,gas,two,1,convertible,rwd,front,1,dohc,four,130,mpfi,16500
1,alfa-romero,3,gas,two,2,hatchback,rwd,front,7,ohcv,six,152,mpfi,16500
2,audi,3,gas,four,3,sedan,fwd,front,4,ohc,four,109,mpfi,13950
2,audi,3,gas,four,3,sedan,4wd,front,4,ohc,five,136,mpfi,17450
2,audi,3,gas,two,3,sedan,fwd,front,4,ohc,five,136,mpfi,15250
2,audi,3,gas,four,3,sedan,fwd,front,4,ohc,five,136,mpfi,17710
2,audi,2,electric,four,4,wagon,fwd,front,4,ohc,five,136,mpfi,18920
2,audi,3,gas,four,3,sedan,fwd,front,4,ohc,five,131,mpfi,23875
2,audi,3,gas,two,2,hatchback,4wd,front,4,ohc,five,131,mpfi,0
3,bmw,3,gas,two,3,sedan,rwd,front,4,ohc,four,108,mpfi,16430
3,bmw,3,gas,four,3,sedan,rwd,front,4,ohc,four,108,mpfi,16925
3,bmw,3,gas,two,3,sedan,rwd,front,4,ohc,six,164,mpfi,20970
3,bmw,3,gas,four,3,sedan,rwd,front,4,ohc,six,164,mpfi,21105
3,bmw,3,gas,four,3,sedan,rwd,front,4,ohc,six,164,mpfi,24565
3,bmw,3,gas,four,3,sedan,rwd,front,4,ohc,six,209,mpfi,30760
3,bmw,3,gas,two,3,sedan,rwd,front,4,ohc,six,209,mpfi,41315
3,bmw,3,gas,four,3,sedan,rwd,front,4,ohc,six,209,mpfi,36880
4,chevrolet,3,gas,two,2,hatchback,fwd,front,4,l,three,61,2bbl,5151
4,chevrolet,3,gas,two,2,hatchback,fwd,front,4,ohc,four,90,2bbl,6295
4,chevrolet,3,gas,four,3,sedan,fwd,front,4,ohc,four,90,2bbl,6575
5,dodge,3,gas,two,2,hatchback,fwd,front,4,ohc,four,90,2bbl,5572
5,dodge,3,gas,two,2,hatchback,fwd,front,4,ohc,four,90,2bbl,6377
5,dodge,3,gas,two,2,hatchback,fwd,front,4,ohc,four,98,mpfi,7957
5,dodge,3,gas,four,2,hatchback,fwd,front,4,ohc,four,90,2bbl,6229
5,dodge,3,gas,four,3,sedan,fwd,front,4,ohc,four,90,2bbl,6692
5,dodge,3,gas,four,3,sedan,fwd,front,4,ohc,four,90,2bbl,7609
5,dodge,3,gas,four,3,sedan,fwd,front,4,ohc,four,98,mpfi,8558
5,dodge,3,gas,four,4,wagon,fwd,front,4,ohc,four,122,2bbl,8921
5,dodge,3,gas,two,2,hatchback,fwd,front,4,ohc,four,156,mfi,12964
6,honda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,1bbl,6479
6,honda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,1bbl,6855
6,honda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,79,1bbl,5399
6,honda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,1bbl,6529
6,honda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,92,1bbl,7129
6,honda,3,gas,four,3,sedan,fwd,front,4,ohc,four,92,1bbl,7295
6,honda,3,gas,four,4,wagon,fwd,front,4,ohc,four,92,1bbl,7295
6,honda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,110,1bbl,7895
6,honda,2,electric,two,2,hatchback,fwd,front,4,ohc,four,110,1bbl,9095
6,honda,3,gas,four,3,sedan,fwd,front,4,ohc,four,110,1bbl,8845
6,honda,3,gas,four,3,sedan,fwd,front,4,ohc,four,110,1bbl,10295
6,honda,2,electric,four,3,sedan,fwd,front,4,ohc,four,110,mpfi,12945
6,honda,3,gas,two,3,sedan,fwd,front,4,ohc,four,110,2bbl,10345
7,isuzu,3,gas,four,3,sedan,rwd,front,4,ohc,four,111,2bbl,6785
7,isuzu,3,gas,two,3,sedan,fwd,front,4,ohc,four,90,2bbl,0
7,isuzu,3,gas,four,3,sedan,fwd,front,4,ohc,four,90,2bbl,0
7,isuzu,3,gas,two,2,hatchback,rwd,front,4,ohc,four,119,spfi,11048
8,jaguar,3,gas,four,3,sedan,rwd,front,1,dohc,six,258,mpfi,32250
8,jaguar,3,gas,four,3,sedan,rwd,front,1,dohc,six,258,mpfi,35550
8,jaguar,3,gas,two,3,sedan,rwd,front,7,ohcv,twelve,326,mpfi,36000
9,mazda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,91,2bbl,5195
9,mazda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,91,2bbl,6095
9,mazda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,91,2bbl,6795
9,mazda,3,gas,four,3,sedan,fwd,front,4,ohc,four,91,2bbl,6695
9,mazda,3,gas,four,3,sedan,fwd,front,4,ohc,four,91,2bbl,7395
9,mazda,3,gas,two,2,hatchback,rwd,front,7,rotor,two,70,4bbl,10945
9,mazda,3,gas,two,2,hatchback,rwd,front,7,rotor,two,70,4bbl,11845
9,mazda,3,gas,two,2,hatchback,rwd,front,7,rotor,two,70,4bbl,13645
9,mazda,3,gas,two,2,hatchback,rwd,front,7,rotor,two,80,mpfi,15645
9,mazda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,122,2bbl,8845
9,mazda,3,gas,four,3,sedan,fwd,front,4,ohc,four,122,2bbl,8495
9,mazda,3,gas,two,2,hatchback,fwd,front,4,ohc,four,122,2bbl,10595
9,mazda,3,gas,four,3,sedan,fwd,front,4,ohc,four,122,2bbl,10245
9,mazda,1,diesel,two,3,sedan,fwd,front,4,ohc,four,122,idi,10795
9,mazda,3,gas,four,2,hatchback,fwd,front,4,ohc,four,122,2bbl,11245
9,mazda,3,gas,four,3,sedan,rwd,front,4,ohc,four,140,mpfi,18280
9,mazda,1,diesel,four,3,sedan,rwd,front,4,ohc,four,134,idi,18344
10,mercedes-benz,1,diesel,four,3,sedan,rwd,front,4,ohc,five,183,idi,25552
10,mercedes-benz,1,diesel,four,4,wagon,rwd,front,4,ohc,five,183,idi,28248
10,mercedes-benz,2,electric,two,1,hardtop,rwd,front,4,ohc,five,183,idi,28176
